question,context,answer
extract entities from this contract excerpt,"This Consulting Agreement entered into on August 22, 2024, engages Strategic Advisors Inc. to provide management consulting services to GrowthTech Corporation. The consulting term commences September 1, 2024, and continues through August 31, 2026. Payment of $50,000 monthly fees is due by the 5th of each month. Maria Gonzalez, serving as Managing Director of Strategic Advisors Inc., will lead the engagement.","{'parties': [{'name': 'Strategic Advisors Inc.', 'role': 'Consultant'}, {'name': 'GrowthTech Corporation', 'role': 'Client'}, {'name': 'Maria Gonzalez', 'role': 'Engagement Lead', 'entity_type': 'Managing Director of Strategic Advisors Inc.'}], 'dates': [{'type': 'agreement_date', 'date': 'August 22, 2024'}, {'type': 'service_commencement_date', 'date': 'September 1, 2024'}, {'type': 'service_termination_date', 'date': 'August 31, 2026'}]}"
extract entities from this contract excerpt,"The Real Estate Purchase Agreement executed on October 10, 2024, involves the sale of commercial property from Heritage Properties Group to Metro Development Corp., a Nevada corporation. The purchase price is $8,750,000 with closing scheduled for December 15, 2024. Title insurance will be provided by First American Title Company, acting as the settlement agent. Michael Thompson, in his capacity as President of Metro Development Corp., has execution authority.","{'parties': [{'name': 'Heritage Properties Group', 'role': 'Seller'}, {'name': 'Metro Development Corp.', 'role': 'Buyer', 'entity_type': 'Nevada corporation'}, {'name': 'First American Title Company', 'role': 'Settlement Agent'}, {'name': 'Michael Thompson', 'role': 'Authorized Signatory', 'entity_type': 'President of Metro Development Corp.'}], 'dates': [{'type': 'execution_date', 'date': 'October 10, 2024'}, {'type': 'closing_date', 'date': 'December 15, 2024'}]}"
extract entities from this contract excerpt,"The Franchise Agreement dated July 5, 2024, grants FastFood Enterprises LLC the right to operate a restaurant franchise in the Denver metropolitan area. The initial franchise term is 15 years, expiring July 4, 2039, with renewal options for two additional 5-year terms. Corporate Services Inc. serves as registered agent for both parties in Colorado. Initial franchise fees of $125,000 are due within 30 days of execution.","{'parties': [{'name': 'FastFood Enterprises LLC', 'role': 'Franchisee'}, {'name': 'Corporate Services Inc.', 'role': 'Registered Agent', 'jurisdiction': 'Colorado', 'scope': 'both parties'}], 'dates': [{'type': 'franchise_agreement_date', 'date': 'July 5, 2024'}, {'type': 'franchise_expiration_date', 'date': 'July 4, 2039', 'renewal_options': 'two additional 5-year terms'}]}"
extract entities from this contract excerpt,"The Intellectual Property Assignment Agreement signed on September 30, 2024, transfers all patent rights from inventor Dr. Sarah Williams to InnovateTech Solutions Inc., a Delaware corporation. The assignment includes Patent Application No. 17/123,456 filed on June 12, 2024. Consideration of $2,500,000 will be paid in three installments: $1,000,000 upon execution, $750,000 on March 31, 2025, and $750,000 on September 30, 2025.","{'parties': [{'name': 'Dr. Sarah Williams', 'role': 'Assignor/Inventor'}, {'name': 'InnovateTech Solutions Inc.', 'role': 'Assignee', 'entity_type': 'Delaware corporation'}], 'dates': [{'type': 'assignment_date', 'date': 'September 30, 2024'}, {'type': 'patent_filing_date', 'date': 'June 12, 2024'}, {'type': 'payment_installment_date', 'date': 'March 31, 2025'}, {'type': 'payment_installment_date', 'date': 'September 30, 2025'}]}"
extract entities from this contract excerpt,"The Non-Disclosure Agreement executed on June 8, 2024, between TechStartup Inc. and Venture Partners LLC establishes confidentiality terms for due diligence activities. The confidentiality period extends for 5 years from the date of execution, expiring June 7, 2029. Legal Counsel Services LLP serves as outside counsel to TechStartup Inc. for this transaction. David Kim, as Managing Partner of Venture Partners LLC, has signed on behalf of the firm.","{'parties': [{'name': 'TechStartup Inc.', 'role': 'Disclosing Party'}, {'name': 'Venture Partners LLC', 'role': 'Receiving Party'}, {'name': 'Legal Counsel Services LLP', 'role': 'Outside Counsel', 'client': 'TechStartup Inc.'}, {'name': 'David Kim', 'role': 'Authorized Signatory', 'entity_type': 'Managing Partner of Venture Partners LLC'}], 'dates': [{'type': 'execution_date', 'date': 'June 8, 2024'}, {'type': 'confidentiality_expiration_date', 'date': 'June 7, 2029'}]}"
extract entities from this contract excerpt,"The Service Level Agreement dated April 18, 2024, between CloudServices Inc. and Enterprise Client Corp. guarantees 99.9% uptime for cloud infrastructure services. The agreement term is 3 years, commencing May 1, 2024, and ending April 30, 2027. Service credits will be applied for any downtime exceeding the guaranteed levels. Annual reviews are scheduled for May 1st of each year during the term.","{'parties': [{'name': 'CloudServices Inc.', 'role': 'Service Provider'}, {'name': 'Enterprise Client Corp.', 'role': 'Customer'}], 'dates': [{'type': 'agreement_date', 'date': 'April 18, 2024'}, {'type': 'service_commencement_date', 'date': 'May 1, 2024'}, {'type': 'service_expiration_date', 'date': 'April 30, 2027'}, {'type': 'annual_review_date', 'date': 'May 1st', 'recurring': True}]}"
extract entities from this contract excerpt,"The Technology Transfer Agreement executed on February 14, 2024, between Research University Foundation and BioTech Innovations Corp., a Massachusetts corporation, grants exclusive rights to commercialize university-developed biotechnology patents. The agreement term is 12 years, expiring February 13, 2036. Milestone payments totaling $5,000,000 are due upon achieving regulatory approval by December 31, 2027. Dr. Amanda Foster, as Vice President of Technology Transfer at Research University Foundation, has execution authority.","{'parties': [{'name': 'Research University Foundation', 'role': 'Licensor'}, {'name': 'BioTech Innovations Corp.', 'role': 'Licensee', 'entity_type': 'Massachusetts corporation'}, {'name': 'Dr. Amanda Foster', 'role': 'Authorized Signatory', 'entity_type': 'Vice President of Technology Transfer at Research University Foundation'}], 'dates': [{'type': 'execution_date', 'date': 'February 14, 2024'}, {'type': 'agreement_expiration_date', 'date': 'February 13, 2036'}, {'type': 'milestone_payment_deadline', 'date': 'December 31, 2027'}]}"
extract entities from this contract excerpt,"The Stock Purchase Agreement dated October 8, 2024, provides for the acquisition of 75% of the outstanding shares of Family Business Corp. by Private Equity Fund III LP. The transaction values the company at $45,000,000, with closing contingent on completion of due diligence by November 30, 2024. Founder and CEO James Mitchell will retain 25% ownership and continue as CEO under a five-year employment agreement. Transaction fees will be paid to Investment Bank Services Inc., acting as exclusive financial advisor.","{'parties': [{'name': 'Family Business Corp.', 'role': 'Target Company'}, {'name': 'Private Equity Fund III LP', 'role': 'Acquirer'}, {'name': 'James Mitchell', 'role': 'Founder/CEO/Continuing Shareholder'}, {'name': 'Investment Bank Services Inc.', 'role': 'Financial Advisor'}], 'dates': [{'type': 'agreement_date', 'date': 'October 8, 2024'}, {'type': 'due_diligence_deadline', 'date': 'November 30, 2024'}]}"
extract entities from this contract excerpt,"The Voting Agreement executed on March 12, 2024, binds shareholders holding 55% of the outstanding shares of TechCorp Inc. to vote in favor of the proposed merger with AcquirerCorp. The agreement expires on the earlier of completion of the merger or March 11, 2025. Proxy Services LLC has been retained to facilitate voting procedures. Lead shareholder Victoria Chang, holding 35% of outstanding shares, has agreed to serve as shareholder representative.","{'parties': [{'name': 'TechCorp Inc.', 'role': 'Target Company'}, {'name': 'AcquirerCorp', 'role': 'Acquiring Company'}, {'name': 'Proxy Services LLC', 'role': 'Voting Facilitator'}, {'name': 'Victoria Chang', 'role': 'Shareholder Representative', 'ownership_percentage': '35%'}], 'dates': [{'type': 'voting_agreement_date', 'date': 'March 12, 2024'}, {'type': 'agreement_expiration_date', 'date': 'March 11, 2025', 'condition': 'or completion of merger, whichever is earlier'}]}"
extract entities from this contract excerpt,"The Escrow Agreement dated January 18, 2025, establishes an escrow account with Escrow Services Bank to hold $15,000,000 pending satisfaction of certain conditions in the underlying asset sale transaction. The escrow period is 18 months, terminating July 17, 2026. Escrow funds will be released upon joint written instruction from buyer MegaCorp Inc. and seller SmallCorp LLC. Independent CPA Firm Williams & Associates will perform the agreed-upon procedures to verify milestone achievement.","{'parties': [{'name': 'Escrow Services Bank', 'role': 'Escrow Agent'}, {'name': 'MegaCorp Inc.', 'role': 'Buyer'}, {'name': 'SmallCorp LLC', 'role': 'Seller'}, {'name': 'Williams & Associates', 'role': 'Independent CPA Firm'}], 'dates': [{'type': 'escrow_agreement_date', 'date': 'January 18, 2025'}, {'type': 'escrow_termination_date', 'date': 'July 17, 2026'}]}"
