question,context,answer
extract entities from this contract excerpt,"This Asset Purchase Agreement is entered into on March 15, 2024, between TechCorp Inc., a Delaware corporation (""Buyer""), and DataSoft LLC, a California limited liability company (""Seller""). The purchase price shall be $12,500,000, payable as follows: $8,000,000 at closing and $4,500,000 held in escrow for 18 months. John Martinez, in his capacity as Managing Member of DataSoft LLC, personally guarantees the representations and warranties contained herein.","{'parties': [{'name': 'TechCorp Inc.', 'role': 'Buyer', 'entity_type': 'Delaware corporation'}, {'name': 'DataSoft LLC', 'role': 'Seller', 'entity_type': 'California limited liability company'}, {'name': 'John Martinez', 'role': 'Guarantor', 'capacity': 'Managing Member of DataSoft LLC'}]}"
extract entities from this contract excerpt,"The Joint Venture Agreement executed between Phoenix Industries Ltd., a UK company, and Sakura Manufacturing K.K., a Japanese corporation, on August 5, 2024, establishes NewCo Ventures LLC as the operating entity. Thomas Wright, designated as the interim CEO by Phoenix Industries, and Yuki Tanaka, appointed by Sakura Manufacturing as CFO, will serve until permanent management is selected by December 1, 2024.","{'parties': [{'name': 'Phoenix Industries Ltd.', 'role': 'Joint Venture Partner', 'entity_type': 'UK company'}, {'name': 'Sakura Manufacturing K.K.', 'role': 'Joint Venture Partner', 'entity_type': 'Japanese corporation'}, {'name': 'NewCo Ventures LLC', 'role': 'Operating Entity'}, {'name': 'Thomas Wright', 'role': 'Interim CEO', 'appointed_by': 'Phoenix Industries'}, {'name': 'Yuki Tanaka', 'role': 'CFO', 'appointed_by': 'Sakura Manufacturing'}], 'dates': [{'type': 'execution_date', 'date': 'August 5, 2024'}, {'type': 'management_selection_deadline', 'date': 'December 1, 2024'}]}"
extract entities from this contract excerpt,"Amendment No. 3 to the Credit Agreement dated May 22, 2023, extends the maturity date to September 15, 2028. First National Bank serves as administrative agent, while Citizens Trust Company acts as collateral agent. The amendment became effective on October 10, 2024, following approval by lenders holding 75% of outstanding commitments.","{'parties': [{'name': 'First National Bank', 'role': 'Administrative Agent'}, {'name': 'Citizens Trust Company', 'role': 'Collateral Agent'}], 'dates': [{'type': 'original_agreement_date', 'date': 'May 22, 2023', 'document': 'Credit Agreement'}, {'type': 'new_maturity_date', 'date': 'September 15, 2028'}, {'type': 'amendment_effective_date', 'date': 'October 10, 2024'}]}"
extract entities from this contract excerpt,"The Share Purchase Agreement between Northstar Holdings Inc. (purchaser) and the estate of deceased shareholder Maria Rodriguez, represented by executor Carlos Rodriguez, was signed on July 18, 2024. Atlantic Legal Services LLC is retained as the registered agent for both parties' Delaware entities. The closing is scheduled for no later than August 30, 2024.","{'parties': [{'name': 'Northstar Holdings Inc.', 'role': 'Purchaser'}, {'name': 'Estate of Maria Rodriguez', 'role': 'Seller'}, {'name': 'Carlos Rodriguez', 'role': 'Executor', 'capacity': 'executor of estate of Maria Rodriguez'}, {'name': 'Atlantic Legal Services LLC', 'role': 'Registered Agent', 'scope': ""both parties' Delaware entities""}], 'dates': [{'type': 'execution_date', 'date': 'July 18, 2024'}, {'type': 'closing_deadline', 'date': 'August 30, 2024'}]}"
extract entities from this contract excerpt,"Pursuant to the Master Service Agreement effective January 15, 2025, CloudTech Solutions Inc. will provide hosting services to multiple subsidiaries of MegaRetail Corporation. The agreement automatically renews on January 15th of each year unless terminated with 90 days notice. Lisa Park, acting in her capacity as Chief Procurement Officer of MegaRetail Corporation, has execution authority for this agreement.","{'parties': [{'name': 'CloudTech Solutions Inc.', 'role': 'Service Provider'}, {'name': 'MegaRetail Corporation', 'role': 'Customer'}, {'name': 'Lisa Park', 'role': 'Authorized Signatory', 'capacity': 'Chief Procurement Officer of MegaRetail Corporation'}], 'dates': [{'type': 'effective_date', 'date': 'January 15, 2025'}, {'type': 'annual_renewal_date', 'date': 'January 15th', 'recurring': True}]}"
extract entities from this contract excerpt,"The Distribution Agreement grants Europarts GmbH exclusive rights for Germany and Austria, while Nordics AB holds exclusive rights for Sweden, Norway, and Denmark. Both agreements were executed on March 3, 2024, and will expire simultaneously on March 2, 2029. The ultimate parent company, Global Distribution Holdings SA, guarantees performance under both agreements.","{'parties': [{'name': 'Europarts GmbH', 'role': 'Exclusive Distributor', 'territory': 'Germany and Austria'}, {'name': 'Nordics AB', 'role': 'Exclusive Distributor', 'territory': 'Sweden, Norway, and Denmark'}, {'name': 'Global Distribution Holdings SA', 'role': 'Parent Company Guarantor'}], 'dates': [{'type': 'execution_date', 'date': 'March 3, 2024'}, {'type': 'expiration_date', 'date': 'March 2, 2029'}]}"
extract entities from this contract excerpt,"The Merger Agreement dated September 12, 2024, provides that AcquirerCorp will merge with TargetCorp, with TargetCorp as the surviving entity. Goldman Sachs & Co. serves as financial advisor to AcquirerCorp, while J.P. Morgan Securities LLC advises TargetCorp. The transaction is expected to close by March 31, 2025, subject to regulatory approvals.","{'parties': [{'name': 'AcquirerCorp', 'role': 'Acquiring Company'}, {'name': 'TargetCorp', 'role': 'Target Company/Surviving Entity'}, {'name': 'Goldman Sachs & Co.', 'role': 'Financial Advisor', 'client': 'AcquirerCorp'}, {'name': 'J.P. Morgan Securities LLC', 'role': 'Financial Advisor', 'client': 'TargetCorp'}], 'dates': [{'type': 'agreement_date', 'date': 'September 12, 2024'}, {'type': 'expected_closing_date', 'date': 'March 31, 2025', 'condition': 'subject to regulatory approvals'}]}"
extract entities from this contract excerpt,"The Trust Agreement established on April 8, 2024, names Jennifer Thompson as trustee of the Thompson Family Trust, with Michael Thompson and Sarah Thompson as co-beneficiaries. Bank of America, N.A. serves as successor trustee in the event Jennifer Thompson is unable to serve. The trust term expires on April 7, 2044, or upon the death of the last surviving beneficiary, whichever occurs first.","{'parties': [{'name': 'Thompson Family Trust', 'role': 'Trust Entity'}, {'name': 'Jennifer Thompson', 'role': 'Trustee'}, {'name': 'Michael Thompson', 'role': 'Co-Beneficiary'}, {'name': 'Sarah Thompson', 'role': 'Co-Beneficiary'}, {'name': 'Bank of America, N.A.', 'role': 'Successor Trustee'}], 'dates': [{'type': 'trust_establishment_date', 'date': 'April 8, 2024'}, {'type': 'trust_expiration_date', 'date': 'April 7, 2044', 'condition': 'or upon death of last surviving beneficiary, whichever occurs first'}]}"
extract entities from this contract excerpt,"The Supply Agreement effective November 1, 2024, between Manufacturer Inc. and Retailer Corp. includes a most-favored-nation clause. Under the agreement, Steel Components LLC, a wholly-owned subsidiary of Manufacturer Inc., will fulfill all orders. The initial term runs through October 31, 2027, with automatic renewal unless either party provides notice by July 31, 2027.","{'parties': [{'name': 'Manufacturer Inc.', 'role': 'Supplier'}, {'name': 'Retailer Corp.', 'role': 'Customer'}, {'name': 'Steel Components LLC', 'role': 'Fulfillment Entity', 'relationship': 'wholly-owned subsidiary of Manufacturer Inc.'}], 'dates': [{'type': 'effective_date', 'date': 'November 1, 2024'}, {'type': 'initial_term_end', 'date': 'October 31, 2027'}, {'type': 'renewal_notice_deadline', 'date': 'July 31, 2027'}]}"
extract entities from this contract excerpt,"The Partnership Agreement dated June 14, 2024, establishes TechVentures LP with Innovation Capital as the general partner and Pension Fund Alpha, University Endowment Beta, and Family Office Gamma as limited partners. The partnership has a 10-year term ending June 13, 2034, with two optional one-year extensions. CT Corporation serves as the registered agent in Delaware.","{'parties': [{'name': 'TechVentures LP', 'role': 'Partnership Entity'}, {'name': 'Innovation Capital', 'role': 'General Partner'}, {'name': 'Pension Fund Alpha', 'role': 'Limited Partner'}, {'name': 'University Endowment Beta', 'role': 'Limited Partner'}, {'name': 'Family Office Gamma', 'role': 'Limited Partner'}, {'name': 'CT Corporation', 'role': 'Registered Agent', 'jurisdiction': 'Delaware'}], 'dates': [{'type': 'partnership_agreement_date', 'date': 'June 14, 2024'}, {'type': 'partnership_term_end', 'date': 'June 13, 2034', 'extension': 'two optional one-year extensions'}]}"
