,question,answer,context
0,"
What were the main components of the Roman military forces?
","
The Roman military consisted of three main parts: the Rome garrison (Praetorian Guard and police forces), the provincial army (legions and auxiliaries), and the navy.
","the garrison at Rome, comprising the Praetorian Guard, the cohortes urbanae and the vigiles, who functioned as police and firefighters;
the provincial army, comprising the Roman legions and the auxiliaries provided by the provinces (auxilia);
the navy.

==== Freedmen ====

The Romans constructed numerous aqueducts. De aquaeductu, a treatise by Frontinus, who served as water commissioner, reflects the administrative importance placed on the water supply. Masonry channels carried water along a precise gradient, using gravity alone. It was then collected in tanks and fed through pipes to public fountains, baths, toilets, or industrial sites. The main aqueducts in Rome were the Aqua Claudia and the Aqua Marcia. The complex system built to supply Constantinople had its most distant supply drawn from over 120 km away along a route of more than 336 km. Roman aqueducts were built to remarkably fine tolerance, and to a technological standard not equalled until modern times. The Romans also used aqueducts in their extensive mining operations across the empire."
1,"
What roles did slaves play in Roman society?
","
Slaves in Rome served in diverse roles from skilled professionals like teachers and physicians to laborers in agriculture and mining, making up a significant portion of the population particularly in Italy.
","The Roman Empire ruled the Mediterranean and much of Europe, Western Asia and North Africa. The Romans conquered most of this during the Republic, and it was ruled by emperors following Octavian's  assumption of effective sole rule in 27 BC. The western empire collapsed in 476 AD, but the eastern empire lasted until the fall of Constantinople in 1453.

Maintaining an affordable food supply to the city of Rome had become a major political issue in the late Republic, when the state began to provide a grain dole (Cura Annonae) to citizens who registered for it (about 200,000–250,000 adult males in Rome). The dole cost at least 15% of state revenues, but improved living conditions among the lower classes, and subsidized the rich by allowing workers to spend more of their earnings on the wine and olive oil produced on estates. The grain dole also had symbolic value: it affirmed the emperor's position as universal benefactor, and the right of citizens to share in ""the fruits of conquest"". The annona, public facilities, and spectacular entertainments mitigated the otherwise dreary living conditions of lower-class Romans, and kept social unrest in check. The satirist Juvenal, however, saw ""bread and circuses"" (panem et circenses) as emblematic of the loss of republican political liberty:

At the time of Augustus, as many as 35% of the people in Roman Italy were slaves, making Rome one of five historical ""slave societies"" in which slaves constituted at least a fifth of the population and played a major role in the economy. Slavery was a complex institution that supported traditional Roman social structures as well as contributing economic utility. In urban settings, slaves might be professionals such as teachers, physicians, chefs, and accountants; the majority of slaves provided trained or unskilled labour. Agriculture and industry, such as milling and mining, relied on the exploitation of slaves. Outside Italy, slaves were on average an estimated 10 to 20% of the population, sparse in Roman Egypt but more concentrated in some Greek areas. Expanding Roman ownership of arable land and industries affected preexisting practices of slavery in the provinces. Although slavery has often been regarded as waning in the 3rd and 4th centuries, it remained an integral part of"
2,"
What legal rights did married women have in the Imperial Roman era regarding property and marriage?
","
Roman women maintained ownership of their property after marriage, were legally emancipated upon their father's death, and could freely divorce and remarry without social stigma.
","The archaic manus marriage in which the woman was subject to her husband's authority was largely abandoned by the Imperial era, and a married woman retained ownership of any property she brought into the marriage. Technically she remained under her father's legal authority, even though she moved into her husband's home, but when her father died she became legally emancipated. This arrangement was a factor in the degree of independence Roman women enjoyed compared to many other cultures up to the modern period: although she had to answer to her father in legal matters, she was free of his direct scrutiny in daily life, and her husband had no legal power over her. Although it was a point of pride to be a ""one-man woman"" (univira) who had married only once, there was little stigma attached to divorce, nor to speedy remarriage after being widowed or divorced. Girls had equal inheritance rights with boys if their father died without leaving a will. A mother's right to own and dispose of

Then the empire stretched from Hadrian's Wall in drizzle-soaked northern England to the sun-baked banks of the Euphrates in Syria; from the great Rhine–Danube river system, which snaked across the fertile, flat lands of Europe from the Low Countries to the Black Sea, to the rich plains of the North African coast and the luxuriant gash of the Nile Valley in Egypt. The empire completely circled the Mediterranean ... referred to by its conquerors as mare nostrum—'our sea'.

Trajan's successor Hadrian adopted a policy of maintaining rather than expanding the empire. Borders (fines) were marked, and the frontiers (limites) patrolled. The most heavily fortified borders were the most unstable. Hadrian's Wall, which separated the Roman world from what was perceived as an ever-present barbarian threat, is the primary surviving monument of this effort.


== Languages ==

The emperor was the ultimate authority in policy- and decision-making, but in the early Principate, he was expected to be accessible and deal personally with official business and petitions. A bureaucracy formed around him only gradually. The Julio-Claudian emperors relied on an informal body of advisors that included not only senators and equestrians, but trusted slaves and freedmen. After Nero, the influence of the latter was regarded with suspicion, and the emperor's council (consilium) became subject to official appointment for greater transparency. Though the Senate took a lead in policy discussions until the end of the Antonine dynasty, equestrians played an increasingly important role in the consilium. The women of the emperor's family often intervened directly in his decisions."
3,"
What was the main purpose of the Circus Maximus in ancient Rome?
","
The Circus Maximus served as Rome's largest entertainment venue hosting various events including chariot races, gladiator fights, beast hunts, and religious games.
","The archaic manus marriage in which the woman was subject to her husband's authority was largely abandoned by the Imperial era, and a married woman retained ownership of any property she brought into the marriage. Technically she remained under her father's legal authority, even though she moved into her husband's home, but when her father died she became legally emancipated. This arrangement was a factor in the degree of independence Roman women enjoyed compared to many other cultures up to the modern period: although she had to answer to her father in legal matters, she was free of his direct scrutiny in daily life, and her husband had no legal power over her. Although it was a point of pride to be a ""one-man woman"" (univira) who had married only once, there was little stigma attached to divorce, nor to speedy remarriage after being widowed or divorced. Girls had equal inheritance rights with boys if their father died without leaving a will. A mother's right to own and dispose of

The Empire was remarkably multicultural, with ""astonishing cohesive capacity"" to create shared identity while encompassing diverse peoples. Public monuments and communal spaces open to all—such as forums, amphitheatres, racetracks and baths—helped foster a sense of ""Romanness"".
Roman society had multiple, overlapping social hierarchies. The civil war preceding Augustus caused upheaval, but did not effect an immediate redistribution of wealth and social power. From the perspective of the lower classes, a peak was merely added to the social pyramid. Personal relationships—patronage, friendship (amicitia), family, marriage—continued to influence politics. By the time of Nero, however, it was not unusual to find a former slave who was richer than a freeborn citizen, or an equestrian who exercised greater power than a senator.

When Juvenal complained that the Roman people had exchanged their political liberty for ""bread and circuses"", he was referring to the state-provided grain dole and the circenses, events held in the entertainment venue called a circus. The largest such venue in Rome was the Circus Maximus, the setting of horse races, chariot races, the equestrian Troy Game, staged beast hunts (venationes), athletic contests, gladiator combat, and historical re-enactments. From earliest times, several religious festivals had featured games (ludi), primarily horse and chariot races (ludi circenses). The races retained religious significance in connection with agriculture, initiation, and the cycle of birth and death."
4,"
What is the main source of our knowledge about Roman painting?
","
Most of our knowledge about Roman painting comes from interior decorations of private homes that were preserved by the eruption of Mount Vesuvius.
","In 212, during the reign of Caracalla, Roman citizenship was granted to all freeborn inhabitants of the empire. The Severan dynasty was tumultuous; an emperor's reign was ended routinely by his murder or execution and, following its collapse, the Empire was engulfed by the Crisis of the Third Century, a period of invasions, civil strife, economic disorder, and plague. In defining historical epochs, this crisis sometimes marks the transition from Classical to Late Antiquity. Aurelian (r. 270–275) stabilised the empire militarily and Diocletian reorganised and restored much of it in 285. Diocletian's reign brought the empire's most concerted effort against the perceived threat of Christianity, the ""Great Persecution"".

Roman expansion was mostly accomplished under the Republic, though parts of northern Europe were conquered in the 1st century, when Roman control in Europe, Africa, and Asia was strengthened. Under Augustus, a ""global map of the known world"" was displayed for the first time in public at Rome, coinciding with the creation of the most comprehensive political geography that survives from antiquity, the Geography of Strabo. When Augustus died, the account of his achievements (Res Gestae) prominently featured the geographical cataloguing of the Empire. Geography alongside meticulous written records were central concerns of Roman Imperial administration.

=== Painting ===

Initial Roman painting drew from Etruscan and Greek models and techniques. Examples of Roman paintings can be found in palaces, catacombs and villas. Much of what is known of Roman painting is from the interior decoration of private homes, particularly as preserved by the eruption of Vesuvius. In addition to decorative borders and panels with geometric or vegetative motifs, wall painting depicts scenes from mythology and theatre, landscapes and gardens, spectacles, everyday life, and erotic art.


=== Mosaic ==="
5,"
What was the main purpose of Roman roads and how were they maintained?
","
Roman roads were primarily built for military use but also served commerce, and were maintained through in-kind taxes where communities provided personnel, animals, and vehicles for the state transport system.
","The blurring of the Republic's more rigid hierarchies led to increased social mobility, both upward and downward, to a greater extent than all other well-documented ancient societies. Women, freedmen, and slaves had opportunities to profit and exercise influence in ways previously less available to them. Social life, particularly for those whose personal resources were limited, was further fostered by a proliferation of voluntary associations and confraternities (collegia and sodalitates): professional and trade guilds, veterans' groups, religious sodalities, drinking and dining clubs, performing troupes, and burial societies.

Land transport utilized the advanced system of Roman roads, called ""viae"". These roads were primarily built for military purposes, but also served commercial ends. The in-kind taxes paid by communities included the provision of personnel, animals, or vehicles for the cursus publicus, the state mail and transport service established by Augustus. Relay stations were located along the roads every seven to twelve Roman miles, and tended to grow into villages or trading posts. A mansio (plural mansiones) was a privately run service station franchised by the imperial bureaucracy for the cursus publicus. The distance between mansiones was determined by how far a wagon could travel in a day. Carts were usually pulled by mules, travelling about 4 mph.

The Romans thought gladiator contests had originated with funeral games and sacrifices. Some of the earliest styles of gladiator fighting had ethnic designations such as ""Thracian"" or ""Gallic"". The staged combats were considered munera, ""services, offerings, benefactions"", initially distinct from the festival games (ludi). To mark the opening of the Colosseum, Titus presented 100 days of arena events, with 3,000 gladiators competing on a single day. Roman fascination with gladiators is indicated by how widely they are depicted on mosaics, wall paintings, lamps, and in graffiti. Gladiators were trained combatants who might be slaves, convicts, or free volunteers. Death was not a necessary or even desirable outcome in matches between these highly skilled fighters, whose training was costly and time-consuming. By contrast, noxii were convicts sentenced to the arena with little or no training, often unarmed, and with no expectation of survival; physical suffering and humiliation were"
6,"
What were noxii and how were they treated in the Roman arena?
","
Noxii were untrained convicts sent to die in the arena through staged executions that often involved humiliation and suffering as a form of punishment.
","The principal Latin prose author of the Augustan age is the historian Livy, whose account of Rome's founding became the most familiar version in modern-era literature. The Twelve Caesars by Suetonius is a primary source for imperial biography. Among Imperial historians who wrote in Greek are Dionysius of Halicarnassus, Josephus, and Cassius Dio. Other major Greek authors of the Empire include the biographer Plutarch, the geographer Strabo, and the rhetorician and satirist Lucian.

In a status-conscious society like that of the Romans, clothing and personal adornment indicated the etiquette of interacting with the wearer. Wearing the correct clothing reflected a society in good order. There is little direct evidence of how Romans dressed in daily life, since portraiture may show the subject in clothing with symbolic value, and surviving textiles are rare.
The toga was the distinctive national garment of the male citizen, but it was heavy and impractical, worn mainly for conducting political or court business and religious rites. It was a ""vast expanse"" of semi-circular white wool that could not be put on and draped correctly without assistance. The drapery became more intricate and structured over time. The toga praetexta, with a purple or purplish-red stripe representing inviolability, was worn by children who had not come of age, curule magistrates, and state priests. Only the emperor could wear an all-purple toga (toga picta).

and time-consuming. By contrast, noxii were convicts sentenced to the arena with little or no training, often unarmed, and with no expectation of survival; physical suffering and humiliation were considered appropriate retributive justice. These executions were sometimes staged or ritualized as re-enactments of myths, and amphitheatres were equipped with elaborate stage machinery to create special effects."
7,"
What evidence suggests that some freedmen were successful during the early Roman Empire?
","
Inscriptions found throughout the Empire provide evidence that a group of freedmen achieved prosperity through their wealth and political connections.
","of successful freedmen—through political influence or wealth—is a characteristic of early Imperial society. The prosperity of a high-achieving group of freedmen is attested by inscriptions throughout the Empire.

At the time of Augustus, as many as 35% of the people in Roman Italy were slaves, making Rome one of five historical ""slave societies"" in which slaves constituted at least a fifth of the population and played a major role in the economy. Slavery was a complex institution that supported traditional Roman social structures as well as contributing economic utility. In urban settings, slaves might be professionals such as teachers, physicians, chefs, and accountants; the majority of slaves provided trained or unskilled labour. Agriculture and industry, such as milling and mining, relied on the exploitation of slaves. Outside Italy, slaves were on average an estimated 10 to 20% of the population, sparse in Roman Egypt but more concentrated in some Greek areas. Expanding Roman ownership of arable land and industries affected preexisting practices of slavery in the provinces. Although slavery has often been regarded as waning in the 3rd and 4th centuries, it remained an integral part of

At the age of 14, upperclass males made their rite of passage into adulthood, and began to learn leadership roles through mentoring from a senior family member or family friend. Higher education was provided by grammatici or rhetores. The grammaticus or ""grammarian"" taught mainly Greek and Latin literature, with history, geography, philosophy or mathematics treated as explications of the text. With the rise of Augustus, contemporary Latin authors such as Virgil and Livy also became part of the curriculum. The rhetor was a teacher of oratory or public speaking. The art of speaking (ars dicendi) was highly prized, and eloquentia (""speaking ability, eloquence"") was considered the ""glue"" of civilized society. Rhetoric was not so much a body of knowledge (though it required a command of the literary canon) as it was a mode of expression that distinguished those who held social power. The ancient model of rhetorical training—""restraint, coolness under pressure, modesty, and good"
8,"
What was special about the Praetorian Guard compared to regular legionaries?
","
The Praetorian Guard had shorter service terms of sixteen years and received better pay than regular legionaries.
","Diocletian divided the empire into four regions, each ruled by a separate tetrarch. Confident that he fixed the disorder plaguing Rome, he abdicated along with his co-emperor, but the Tetrarchy collapsed shortly after. Order was eventually restored by Constantine the Great, who became the first emperor to convert to Christianity, and who established Constantinople as the new capital of the Eastern Empire. During the decades of the Constantinian and Valentinian dynasties, the empire was divided along an east–west axis, with dual power centres in Constantinople and Rome. Julian, who under the influence of his adviser Mardonius attempted to restore Classical Roman and Hellenistic religion, only briefly interrupted the succession of Christian emperors. Theodosius I, the last emperor to rule over both East and West, died in 395 after making Christianity the state religion.

army. Augustus also created the Praetorian Guard: nine cohorts, ostensibly to maintain the public peace, which were garrisoned in Italy. Better paid than the legionaries, the Praetorians served only sixteen years.

Epidemics were common in the ancient world, and occasional pandemics in the Empire killed millions. The Roman population was unhealthy. About 20 percent—a large percentage by ancient standards—lived in cities, Rome being the largest. The cities were a ""demographic sink"": the death rate exceeded the birth rate and constant immigration was necessary to maintain the population. Average lifespan is estimated at the mid-twenties, and perhaps more than half of children died before reaching adulthood. Dense urban populations and poor sanitation contributed to disease. Land and sea connections facilitated and sped the transfer of infectious diseases across the empire's territories. The rich were not immune; only two of emperor Marcus Aurelius's fourteen children are known to have reached adulthood."
9,"
How did the number of public entertainment days change from Augustus to Marcus Aurelius?
","
The number of entertainment days increased from 77 days under Augustus to 135 days during Marcus Aurelius's reign.
","Diocletian divided the empire into four regions, each ruled by a separate tetrarch. Confident that he fixed the disorder plaguing Rome, he abdicated along with his co-emperor, but the Tetrarchy collapsed shortly after. Order was eventually restored by Constantine the Great, who became the first emperor to convert to Christianity, and who established Constantinople as the new capital of the Eastern Empire. During the decades of the Constantinian and Valentinian dynasties, the empire was divided along an east–west axis, with dual power centres in Constantinople and Rome. Julian, who under the influence of his adviser Mardonius attempted to restore Classical Roman and Hellenistic religion, only briefly interrupted the succession of Christian emperors. Theodosius I, the last emperor to rule over both East and West, died in 395 after making Christianity the state religion.

Under Augustus, public entertainments were presented on 77 days of the year; by the reign of Marcus Aurelius, this had expanded to 135. Circus games were preceded by an elaborate parade (pompa circensis) that ended at the venue. Competitive events were held also in smaller venues such as the amphitheatre, which became the characteristic Roman spectacle venue, and stadium. Greek-style athletics included footraces, boxing, wrestling, and the pancratium. Aquatic displays, such as the mock sea battle (naumachia) and a form of ""water ballet"", were presented in engineered pools. State-supported theatrical events (ludi scaenici) took place on temple steps or in grand stone theatres, or in the smaller enclosed theatre called an odeon.

=== Military ===

After the Punic Wars, the Roman army comprised professional soldiers who volunteered for 20 years of active duty and five as reserves. The transition to a professional military began during the late Republic and was one of the many profound shifts away from republicanism, under which an army of conscript citizens defended the homeland against a specific threat. The Romans expanded their war machine by ""organizing the communities that they conquered in Italy into a system that generated huge reservoirs of manpower for their army"". By Imperial times, military service was a full-time career. The pervasiveness of military garrisons throughout the Empire was a major influence in the process of Romanization.
The primary mission of the military of the early empire was to preserve the Pax Romana. The three major divisions of the military were:"
